no.,width_mm,thickness_mm,avg_area_mm2,max_force_N,tensile_break_Mpa,elongation_at_break,modulus_Mpa,tensile_strength,material_type
1,10,0.682,6.82,50.76,6.94,573.4,94.4,7.443,PLA
2,10,0.687,6.87,44.5,5.485,545.1,95.4,6.477,PLA
3,10,0.71,7.1,44.25,6.193,531.4,87.6,6.232,PLA
4,10,0.687,6.87,39.05,5.485,545.1,73.6,5.684,PLA
5,10,0.672,6.72,39.09,5.73,550.4,78.2,5.817,PLA
6,10,0.563,5.63,36.37,,548.7,123,6.46,PLA-CNC 1wt%
7,10,0.553,5.53,35.34,,503.1,145,6.391,PLA-CNC 1wt%
8,10,0.536,5.36,35.38,,472.7,112,6.601,PLA-CNC 1wt%
9,10,0.524,5.24,43.18,,425.4,186,8.24,PLA-CNC 1wt%
10,10,0.664,6.64,41.57,,462.7,109,6.261,PLA-CNC 1wt%
11,10,0.729,7.29,39.92,,476.7,81.5,5.476,PLA-CNC 3wt%
12,10,0.727,7.27,36.77,,478.1,85,5.058,PLA-CNC 3wt%
13,10,0.685,6.85,36.2,,477.4,89.6,5.285,PLA-CNC 3wt%
14,10,0.733,7.33,38.52,,461.7,105,5.255,PLA-CNC 3wt%
15,10,0.608,6.08,36.97,,477.1,120,6.081,PLA-CNC 3wt%
16,9.64,0.725,6.99,24.75,,543.1,22.7,3.541,PLA-CNC-g-PLLA 1wt%
17,9.82,0.714,7.01,25.16,,544.2,24.9,3.588,PLA-CNC-g-PLLA 1wt%
18,10,0.708,7.08,24.42,,514.1,24.9,3.449,PLA-CNC-g-PLLA 1wt%
19,10.14,0.821,8.32,24.27,,566.4,19.9,2.915,PLA-CNC-g-PLLA 3wt%
20,9.79,0.714,6.99,26.85,,542.7,32.9,3.841,PLA-CNC-g-PLLA 3wt%
21,9.37,0.663,6.21,23.16,,551.7,35.7,3.728,PLA-CNC-g-PLLA 3wt%
22,10.11,0.613,6.2,23.39,,564.1,45.9,3.774,PLA-CNC-g-PLLA 3wt%
23,11.15,0.547,6.1,26.7,,663.4,55.8,4.378,PLA-CNC-g-PLLA 3wt%
24,4,1.947,7.79,262.08,33.7,810,,33.652,N/A
25,3.96,1.927,7.63,272.79,35.7,801.6,,35.748,N/A
26,3.99,1.888,7.53,260.24,34.5,929.1,,34.546,N/A
27,3.9,1.851,7.22,261.31,36.2,930.7,,36.198,N/A
28,3.96,1.834,7.26,250.84,34.5,902.3,,34.538,N/A
29,3.92,1.866,7.31,263.41,36.01,823.6,,36.011,N/A
30,4,1.83,7.32,268.31,36.7,943.8,,36.654,N/A
31,3.96,1.809,7.16,259.01,36.2,839.4,,36.156,N/A
32,3.97,1.851,7.35,255.19,34.7,873.5,,34.727,N/A
33,3.96,1.833,7.26,256.22,35.3,904.1,,35.298,N/A